County, State, FIPS Code, Total Pop, Median Income ($), No. of Housing Units, Median Home Value ($), No. of Owner Occupied Housing Units, No. of Owner Occ. Housing Units with Debt, No. of Owner Occ. Housing Units without Debt
McLean County, Illinois, 17113, 173114, 62211, 70897, 160500, 42905, 29606, 13299
Macon County, Illinois, 17115, 109193, 47176, 50391, 94900, 30995, 17094, 13901
Macoupin County, Illinois, 17117, 46844, 51206, 21558, 94300, 14724, 8552, 6172
Madison County, Illinois, 17119, 267356, 53431, 117919, 126500, 75940, 48380, 27560
Marion County, Illinois, 17121, 38665, 42238, 18195, 68600, 11777, 6453, 5324
Marshall County, Illinois, 17123, 12173, 53423, 5912, 104600, 4155, 2163, 1992
Mason County, Illinois, 17125, 14126, 41567, 7030, 81300, 4705, 2291, 2414
Massac County, Illinois, 17127, 15016, 40977, 7097, 83900, 4365, 2170, 2195
Menard County, Illinois, 17129, 12611, 60486, 5651, 127900, 3999, 2594, 1405
Mercer County, Illinois, 17131, 16107, 54757, 7359, 98000, 5159, 2887, 2272
Monroe County, Illinois, 17133, 33539, 70859, 13678, 191200, 10428, 6885, 3543
Montgomery County, Illinois, 17135, 29348, 46966, 12758, 78300, 8551, 4645, 3906
Morgan County, Illinois, 17137, 35129, 45978, 15449, 98500, 9579, 5668, 3911
Moultrie County, Illinois, 17139, 14927, 49681, 6325, 100900, 4418, 2553, 1865
Ogle County, Illinois, 17141, 52397, 54849, 22583, 140000, 15732, 10029, 5703
Peoria County, Illinois, 17143, 187112, 51147, 83476, 126600, 49289, 31024, 18265
Perry County, Illinois, 17145, 21810, 42478, 9454, 78400, 6094, 2982, 3112
Piatt County, Illinois, 17147, 16495, 66261, 7321, 123600, 5549, 3420, 2129
Pike County, Illinois, 17149, 16144, 40588, 7941, 75300, 5172, 2697, 2475
Pope County, Illinois, 17151, 4331, 39223, 2652, 102000, 1329, 512, 817
Pulaski County, Illinois, 17153, 5871, 31980, 3139, 57600, 1744, 716, 1028
Putnam County, Illinois, 17155, 5822, 56358, 3106, 121300, 1965, 1111, 854
Randolph County, Illinois, 17157, 33069, 48158, 13762, 96700, 9209, 4612, 4597
Richland County, Illinois, 17159, 16127, 44127, 7492, 83800, 4675, 2020, 2655
Rock Island County, Illinois, 17161, 147161, 48817, 65791, 113800, 41981, 24325, 17656
St. Clair County, Illinois, 17163, 267029, 49895, 117949, 120400, 67779, 42230, 25549
Saline County, Illinois, 17165, 24783, 38258, 11644, 69400, 7115, 3204, 3911
Sangamon County, Illinois, 17167, 199016, 56167, 90433, 130900, 57654, 36651, 21003
Schuyler County, Illinois, 17169, 7311, 47723, 3441, 78100, 2446, 1145, 1301
Scott County, Illinois, 17171, 5198, 47222, 2435, 84300, 1607, 804, 803
Shelby County, Illinois, 17173, 22115, 47850, 10450, 85300, 7379, 3454, 3925
Stark County, Illinois, 17175, 5859, 50085, 2662, 85100, 1966, 836, 1130
Stephenson County, Illinois, 17177, 46625, 45331, 21957, 98900, 13641, 7489, 6152
Tazewell County, Illinois, 17179, 135697, 58194, 57958, 134900, 41508, 25866, 15642
Union County, Illinois, 17181, 17551, 42606, 7914, 93900, 5278, 2582, 2696
Vermilion County, Illinois, 17183, 80368, 42977, 36093, 75800, 21751, 10943, 10808
Wabash County, Illinois, 17185, 11652, 47491, 5539, 81100, 3581, 1779, 1802
Warren County, Illinois, 17187, 17701, 43699, 7690, 81900, 5166, 2774, 2392
Washington County, Illinois, 17189, 14457, 53202, 6575, 106600, 4553, 2211, 2342
Wayne County, Illinois, 17191, 16555, 44993, 7905, 77800, 5650, 2641, 3009
White County, Illinois, 17193, 14464, 44648, 7129, 70900, 4603, 2069, 2534
Whiteside County, Illinois, 17195, 57525, 47401, 25750, 99200, 17731, 10171, 7560
Will County, Illinois, 17197, 683995, 76101, 239232, 209800, 182276, 137079, 45197
Williamson County, Illinois, 17199, 67121, 44453, 30688, 99200, 19430, 11006, 8424
Winnebago County, Illinois, 17201, 290439, 48225, 125720, 117700, 75502, 50493, 25009
Woodford County, Illinois, 17203, 39106, 65852, 15325, 158200, 11663, 7191, 4472
Adams County, Indiana, 18001, 34642, 48188, 13079, 116900, 9548, 5753, 3795
Allen County, Indiana, 18003, 363453, 49092, 153860, 114600, 96765, 65524, 31241
Bartholomew County, Indiana, 18005, 79488, 55050, 33422, 136000, 21588, 14099, 7489
Benton County, Indiana, 18007, 8752, 47046, 3907, 83800, 2426, 1397, 1029
Blackford County, Indiana, 18009, 12476, 38190, 6008, 67500, 3877, 2199, 1678
Boone County, Indiana, 18011, 60511, 67552, 24565, 187600, 17396, 13024, 4372
Brown County, Indiana, 18013, 15011, 54615, 8479, 162300, 4842, 3090, 1752
Carroll County, Indiana, 18015, 20014, 52005, 9456, 112100, 6275, 3901, 2374
Cass County, Indiana, 18017, 38476, 42290, 16374, 82400, 10975, 6456, 4519
Clark County, Indiana, 18019, 113181, 51699, 48626, 129000, 30563, 21118, 9445
Clay County, Indiana, 18021, 26686, 47602, 11693, 95000, 7782, 5009, 2773
Clinton County, Indiana, 18023, 32835, 48478, 13253, 98100, 8434, 5307, 3127
Crawford County, Indiana, 18025, 10591, 38695, 5460, 86300, 3250, 1750, 1500
Daviess County, Indiana, 18027, 32411, 47342, 12462, 110200, 8287, 4770, 3517
Dearborn County, Indiana, 18029, 49679, 58680, 20231, 159100, 14646, 10574, 4072
Decatur County, Indiana, 18031, 26240, 49799, 11217, 115100, 7076, 4496, 2580
DeKalb County, Indiana, 18033, 42449, 48341, 17604, 110100, 12496, 8096, 4400
Delaware County, Indiana, 18035, 117335, 38830, 52348, 87700, 29208, 18415, 10793
Dubois County, Indiana, 18037, 42291, 53513, 17540, 137700, 12263, 7000, 5263
Elkhart County, Indiana, 18039, 200685, 47913, 77880, 124000, 48955, 33291, 15664
Fayette County, Indiana, 18041, 23773, 39379, 10831, 81900, 6429, 3983, 2446
Floyd County, Indiana, 18043, 75900, 54914, 32223, 156300, 21055, 14275, 6780
Fountain County, Indiana, 18045, 16888, 46760, 7810, 87500, 5193, 2928, 2265
Franklin County, Indiana, 18047, 22935, 51748, 9553, 147600, 7071, 4371, 2700
Fulton County, Indiana, 18049, 20527, 45332, 9663, 95400, 6127, 3744, 2383
Gibson County, Indiana, 18051, 33668, 48303, 14696, 103000, 10127, 5958, 4169
Grant County, Indiana, 18053, 68896, 40294, 30331, 82800, 18451, 11085, 7366
Greene County, Indiana, 18055, 32815, 45397, 15102, 90500, 10119, 5521, 4598
Hamilton County, Indiana, 18057, 296635, 86222, 113759, 222900, 84806, 68539, 16267
Hancock County, Indiana, 18059, 71328, 66606, 28685, 156300, 20608, 15449, 5159
Harrison County, Indiana, 18061, 39230, 52128, 16636, 129300, 11905, 7622, 4283
Hendricks County, Indiana, 18063, 153435, 70163, 57616, 162400, 43851, 34097, 9754
Henry County, Indiana, 18065, 49146, 41855, 21171, 91600, 13231, 7905, 5326
Howard County, Indiana, 18067, 82765, 44226, 38649, 95700, 23731, 15640, 8091
Huntington County, Indiana, 18069, 36863, 46945, 15864, 99900, 10973, 7359, 3614
Jackson County, Indiana, 18071, 43471, 47000, 18432, 112200, 12325, 7850, 4475
Jasper County, Indiana, 18073, 33448, 55374, 13302, 148300, 9306, 5918, 3388
Jay County, Indiana, 18075, 21255, 41021, 9202, 79400, 6075, 3570, 2505
Jefferson County, Indiana, 18077, 32453, 45718, 14315, 112100, 9120, 5826, 3294
Jennings County, Indiana, 18079, 28113, 44736, 12062, 95400, 8035, 4799, 3236
Johnson County, Indiana, 18081, 145645, 62147, 58189, 145400, 37734, 28631, 9103
Knox County, Indiana, 18083, 38062, 42725, 16997, 84700, 9755, 5670, 4085
Kosciusko County, Indiana, 18085, 77983, 52821, 37418, 132900, 22634, 14575, 8059
LaGrange County, Indiana, 18087, 38084, 49964, 14283, 162200, 9513, 6178, 3335
Lake County, Indiana, 18089, 491596, 50135, 209868, 136100, 126228, 84458, 41770
LaPorte County, Indiana, 18091, 111280, 46872, 48682, 123300, 30343, 19476, 10867
Lawrence County, Indiana, 18093, 45814, 45875, 20965, 100500, 14245, 8795, 5450
Madison County, Indiana, 18095, 130280, 44195, 58844, 90400, 35412, 22972, 12440
Marion County, Indiana, 18097, 926335, 42168, 419109, 118300, 197290, 143533, 53757
Marshall County, Indiana, 18099, 46962, 48485, 19948, 123100, 13319, 8337, 4982
Martin County, Indiana, 18101, 10262, 44589, 4753, 91800, 3274, 1861, 1413
Miami County, Indiana, 18103, 36211, 45184, 15363, 85500, 9606, 5896, 3710
Monroe County, Indiana, 18105, 142404, 42404, 59808, 160400, 29050, 19096, 9954
Montgomery County, Indiana, 18107, 38172, 48213, 16527, 110600, 10398, 7180, 3218
Morgan County, Indiana, 18109, 69403, 55432, 27914, 143700, 19554, 13475, 6079
Newton County, Indiana, 18111, 14057, 46895, 6040, 113400, 4062, 2576, 1486
Noble County, Indiana, 18113, 47546, 49331, 20155, 113000, 13592, 8659, 4933
Ohio County, Indiana, 18115, 6033, 48780, 2799, 141000, 1880, 1264, 616
Orange County, Indiana, 18117, 19725, 39812, 9123, 89400, 5833, 3227, 2606
Owen County, Indiana, 18119, 21192, 43948, 9995, 110200, 6812, 4004, 2808
Parke County, Indiana, 18121, 17107, 40781, 8062, 88200, 4786, 2798, 1988
Perry County, Indiana, 18123, 19414, 47470, 8519, 100800, 5796, 3418, 2378
Pike County, Indiana, 18125, 12687, 44399, 5755, 88400, 4096, 2187, 1909
Porter County, Indiana, 18127, 166570, 63926, 66786, 165500, 47809, 33197, 14612
Posey County, Indiana, 18129, 25567, 58101, 11301, 133800, 8395, 5403, 2992
Pulaski County, Indiana, 18131, 13047, 43836, 6043, 93000, 3969, 2289, 1680
Putnam County, Indiana, 18133, 37650, 51355, 14774, 122800, 9320, 6117, 3203
Randolph County, Indiana, 18135, 25596, 40810, 11657, 78200, 7758, 4489, 3269
Ripley County, Indiana, 18137, 28612, 51170, 12081, 129800, 8437, 5710, 2727
Rush County, Indiana, 18139, 16991, 45121, 7479, 100700, 4959, 3079, 1880
St. Joseph County, Indiana, 18141, 267246, 45471, 115351, 114800, 69843, 45658, 24185
Scott County, Indiana, 18143, 23783, 44442, 10443, 98700, 6497, 3979, 2518
Shelby County, Indiana, 18145, 44441, 53584, 19080, 120800, 12430, 8133, 4297
Spencer County, Indiana, 18147, 20856, 55247, 8919, 116100, 6547, 3957, 2590
Starke County, Indiana, 18149, 23117, 42208, 10985, 96900, 7123, 4454, 2669
Steuben County, Indiana, 18151, 34267, 48472, 19474, 128800, 10457, 6502, 3955
Sullivan County, Indiana, 18153, 21111, 45023, 8874, 78200, 5589, 3277, 2312
Switzerland County, Indiana, 18155, 10500, 44061, 5054, 119100, 2909, 1867, 1042
Tippecanoe County, Indiana, 18157, 180952, 45932, 73136, 135200, 35766, 25664, 10102
Tipton County, Indiana, 18159, 15573, 51613, 6966, 111500, 4976, 3044, 1932
Union County, Indiana, 18161, 7299, 44277, 3226, 102500, 2132, 1384, 748
Vanderburgh County, Indiana, 18163, 181305, 43046, 83329, 115500, 46954, 31023, 15931
Vermillion County, Indiana, 18165, 15860, 43600, 7466, 75000, 4982, 2831, 2151
Vigo County, Indiana, 18167, 108268, 40313, 46353, 91200, 24497, 15795, 8702
Wabash County, Indiana, 18169, 32358, 45649, 14122, 95100, 9561, 5831, 3730
Warren County, Indiana, 18171, 8367, 56042, 3673, 107200, 2662, 1600, 1062
Warrick County, Indiana, 18173, 60995, 62185, 24727, 148400, 18696, 12387, 6309
Washington County, Indiana, 18175, 27930, 41289, 12188, 102900, 8088, 5100, 2988
Wayne County, Indiana, 18177, 67866, 38494, 31215, 92200, 18596, 11911, 6685
Wells County, Indiana, 18179, 27796, 51101, 11684, 115200, 8791, 5842, 2949
White County, Indiana, 18181, 24388, 52154, 12964, 105500, 7361, 4522, 2839
Whitley County, Indiana, 18183, 33330, 54389, 14421, 130400, 10832, 7536, 3296
Adair County, Iowa, 19001, 7426, 46526, 3672, 89600, 2484, 1229, 1255
Adams County, Iowa, 19003, 3892, 48043, 1992, 87800, 1254, 606, 648
Allamakee County, Iowa, 19005, 14060, 45890, 7626, 110900, 4681, 2212, 2469
Appanoose County, Iowa, 19007, 12669, 41394, 6596, 78200, 3973, 1871, 2102
Audubon County, Iowa, 19009, 5869, 46979, 3005, 65000, 2191, 935, 1256
Benton County, Iowa, 19011, 25803, 60606, 11082, 140600, 8248, 4984, 3264
Black Hawk County, Iowa, 19013, 132496, 48369, 56591, 130200, 35358, 22140, 13218
Boone County, Iowa, 19015, 26401, 52985, 11789, 119600, 8114, 4959, 3155
Bremer County, Iowa, 19017, 24539, 62163, 10067, 151600, 7563, 4620, 2943
Buchanan County, Iowa, 19019, 20998, 56150, 8989, 126600, 6576, 3918, 2658
Buena Vista County, Iowa, 19021, 20507, 48195, 8263, 103900, 5263, 2866, 2397
Butler County, Iowa, 19023, 14966, 52360, 6707, 107400, 4957, 2627, 2330
Calhoun County, Iowa, 19025, 9914, 44921, 5094, 76100, 3274, 1628, 1646
Carroll County, Iowa, 19027, 20629, 50559, 9398, 113200, 6382, 3418, 2964
Cass County, Iowa, 19029, 13590, 43750, 6559, 89500, 4327, 2295, 2032
Cedar County, Iowa, 19031, 18375, 59047, 8111, 134700, 6084, 3691, 2393
Cerro Gordo County, Iowa, 19033, 43481, 46122, 22215, 115200, 13867, 7777, 6090
Cherokee County, Iowa, 19035, 11853, 48599, 5766, 84200, 3934, 1797, 2137
Chickasaw County, Iowa, 19037, 12244, 47040, 5658, 103400, 4146, 2084, 2062
Clarke County, Iowa, 19039, 9280, 43327, 4126, 91200, 2612, 1448, 1164
Clay County, Iowa, 19041, 16537, 50389, 8069, 110500, 5323, 3073, 2250
Clayton County, Iowa, 19043, 17806, 48007, 9025, 106700, 5966, 3031, 2935
Clinton County, Iowa, 19045, 48365, 50498, 21760, 110100, 14780, 8746, 6034
Crawford County, Iowa, 19047, 17252, 48084, 6981, 90200, 4774, 2378, 2396
Dallas County, Iowa, 19049, 74892, 76320, 29257, 190700, 21134, 15948, 5186
Davis County, Iowa, 19051, 8742, 48888, 3583, 99900, 2510, 1234, 1276
Decatur County, Iowa, 19053, 8249, 38560, 3847, 81500, 2108, 1038, 1070
Delaware County, Iowa, 19055, 17507, 58274, 8031, 123300, 5579, 3157, 2422
Des Moines County, Iowa, 19057, 40208, 44423, 18477, 98200, 12336, 6779, 5557
Dickinson County, Iowa, 19059, 16967, 57265, 13087, 167800, 5891, 3257, 2634
Dubuque County, Iowa, 19061, 95906, 54605, 40077, 149400, 27445, 16589, 10856
Emmet County, Iowa, 19063, 9917, 47795, 4765, 84100, 3189, 1497, 1692
Fayette County, Iowa, 19065, 20589, 44928, 9554, 88200, 6444, 3340, 3104
Floyd County, Iowa, 19067, 16050, 44797, 7524, 98200, 4967, 2706, 2261
Franklin County, Iowa, 19069, 10489, 48605, 4865, 85900, 3159, 1571, 1588
Fremont County, Iowa, 19071, 7106, 53324, 3432, 100100, 2240, 1216, 1024
Greene County, Iowa, 19073, 9174, 46898, 4539, 85300, 2982, 1608, 1374
Grundy County, Iowa, 19075, 12407, 56750, 5538, 125700, 4174, 2312, 1862
Guthrie County, Iowa, 19077, 10740, 51013, 5741, 103700, 3634, 1904, 1730
Hamilton County, Iowa, 19079, 15297, 49813, 7184, 93600, 4465, 2718, 1747
Hancock County, Iowa, 19081, 11092, 52981, 5288, 91600, 3744, 1807, 1937
Hardin County, Iowa, 19083, 17393, 51019, 8180, 88700, 5267, 2780, 2487
Harrison County, Iowa, 19085, 14467, 53567, 6727, 106400, 4477, 2612, 1865
Henry County, Iowa, 19087, 20080, 49321, 8251, 103900, 5555, 3047, 2508
Howard County, Iowa, 19089, 9494, 49869, 4366, 94600, 3077, 1648, 1429
Humboldt County, Iowa, 19091, 9674, 47252, 4671, 89800, 3027, 1498, 1529
Ida County, Iowa, 19093, 7071, 46993, 3410, 80300, 2332, 1254, 1078
Iowa County, Iowa, 19095, 16344, 59375, 7255, 138700, 5322, 3077, 2245
Jackson County, Iowa, 19097, 19572, 49028, 9429, 114300, 6324, 3282, 3042
Jasper County, Iowa, 19099, 36726, 55033, 16158, 117700, 10543, 6201, 4342
Jefferson County, Iowa, 19101, 17318, 42899, 7557, 101000, 4598, 2335, 2263
Johnson County, Iowa, 19103, 139436, 55700, 57997, 193600, 32973, 22845, 10128
Jones County, Iowa, 19105, 20560, 55060, 8902, 129300, 6389, 3661, 2728
Keokuk County, Iowa, 19107, 10291, 43838, 4899, 77100, 3375, 1645, 1730
Kossuth County, Iowa, 19109, 15280, 51496, 7483, 92300, 5289, 2632, 2657
Lee County, Iowa, 19111, 35369, 43312, 16217, 85400, 10723, 5574, 5149
Linn County, Iowa, 19113, 216640, 59322, 94058, 147400, 64274, 44093, 20181
Louisa County, Iowa, 19115, 11271, 51144, 5016, 99900, 3354, 1839, 1515
Lucas County, Iowa, 19117, 8731, 43962, 4208, 82400, 2915, 1604, 1311
Lyon County, Iowa, 19119, 11723, 57130, 4924, 111100, 3722, 2070, 1652
Madison County, Iowa, 19121, 15644, 60060, 6667, 160200, 4660, 3024, 1636
Mahaska County, Iowa, 19123, 22396, 48726, 9759, 106200, 6340, 3636, 2704
Marion County, Iowa, 19125, 33248, 54693, 13986, 137300, 9610, 6052, 3558
Marshall County, Iowa, 19127, 40962, 53351, 16736, 104500, 11086, 6639, 4447
Mills County, Iowa, 19129, 14862, 63979, 6082, 153100, 4319, 2877, 1442
Mitchell County, Iowa, 19131, 10762, 49488, 4897, 108700, 3646, 1812, 1834
Monona County, Iowa, 19133, 9088, 40302, 4719, 79400, 2885, 1388, 1497
Monroe County, Iowa, 19135, 8002, 46304, 3896, 96300, 2482, 1148, 1334
Montgomery County, Iowa, 19137, 10465, 42418, 5207, 78700, 3166, 1542, 1624
Muscatine County, Iowa, 19139, 42913, 53676, 17955, 126900, 12086, 7244, 4842
O'Brien County, Iowa, 19141, 14092, 55227, 6632, 102700, 4440, 2226, 2214
Osceola County, Iowa, 19143, 6211, 49448, 2974, 83600, 2091, 877, 1214
Page County, Iowa, 19145, 15660, 43912, 7185, 82500, 4681, 2407, 2274
Palo Alto County, Iowa, 19147, 9208, 47113, 4611, 85300, 2958, 1511, 1447
Plymouth County, Iowa, 19149, 24853, 57130, 10624, 138300, 7913, 4460, 3453
Pocahontas County, Iowa, 19151, 7127, 45069, 3763, 64700, 2471, 1017, 1454
Polk County, Iowa, 19153, 452369, 60061, 189320, 157200, 119646, 87026, 32620
Pottawattamie County, Iowa, 19155, 93213, 51976, 39532, 125800, 25441, 16426, 9015
Poweshiek County, Iowa, 19157, 18705, 51006, 8968, 128700, 5235, 2916, 2319
Ringgold County, Iowa, 19159, 5061, 47042, 2602, 77600, 1574, 732, 842
Sac County, Iowa, 19161, 10101, 49572, 5409, 81200, 3529, 1671, 1858
Scott County, Iowa, 19163, 169994, 55114, 72800, 148200, 46076, 31422, 14654
Shelby County, Iowa, 19165, 11992, 50952, 5553, 108800, 4015, 2040, 1975
Sioux County, Iowa, 19167, 34509, 61627, 12504, 140900, 9285, 5423, 3862
Story County, Iowa, 19169, 93586, 50438, 37688, 166000, 19186, 12104, 7082
Tama County, Iowa, 19171, 17479, 55203, 7745, 103000, 5230, 2616, 2614
Taylor County, Iowa, 19173, 6213, 44246, 3086, 70400, 1968, 928, 1040
Union County, Iowa, 19175, 12575, 44351, 5910, 87200, 3799, 2217, 1582
Van Buren County, Iowa, 19177, 7432, 45111, 3639, 76300, 2521, 1188, 1333
Wapello County, Iowa, 19179, 35315, 42095, 16017, 80400, 10603, 5815, 4788
Warren County, Iowa, 19181, 47542, 64447, 18951, 159900, 13873, 9695, 4178
Washington County, Iowa, 19183, 22017, 56390, 9529, 122100, 6426, 3871, 2555
Wayne County, Iowa, 19185, 6384, 43358, 3196, 70600, 2110, 996, 1114
Webster County, Iowa, 19187, 37295, 42408, 17006, 85900, 10257, 5604, 4653
Winnebago County, Iowa, 19189, 10614, 47668, 5179, 94100, 3453, 1792, 1661
Winneshiek County, Iowa, 19191, 20884, 54429, 8777, 157800, 6349, 3625, 2724
Woodbury County, Iowa, 19193, 102530, 46720, 41488, 99600, 26098, 15298, 10800
Worth County, Iowa, 19195, 7563, 48459, 3524, 96400, 2492, 1171, 1321
Wright County, Iowa, 19197, 12936, 43698, 6510, 73400, 4140, 2014, 2126
Allen County, Kansas, 20001, 13081, 38698, 6247, 68200, 3848, 1830, 2018
Anderson County, Kansas, 20003, 7896, 40696, 3712, 90400, 2473, 1220, 1253
Atchison County, Kansas, 20005, 16633, 43581, 6958, 88100, 4363, 2374, 1989
Barber County, Kansas, 20007, 4770, 51811, 2792, 78100, 1448, 592, 856
Barton County, Kansas, 20009, 27399, 44013, 12617, 81200, 7624, 3549, 4075
Bourbon County, Kansas, 20011, 14812, 38280, 7114, 81400, 3901, 1794, 2107
Brown County, Kansas, 20013, 9880, 43724, 4768, 84600, 2809, 1372, 1437
Butler County, Kansas, 20015, 66092, 58897, 26329, 134500, 17758, 11802, 5956
Chase County, Kansas, 20017, 2722, 38707, 1496, 76600, 825, 383, 442
Chautauqua County, Kansas, 20019, 3520, 37993, 2134, 48500, 1228, 415, 813
Cherokee County, Kansas, 20021, 20952, 41388, 9837, 72500, 6043, 2640, 3403
Cheyenne County, Kansas, 20023, 2682, 44500, 1496, 82800, 1009, 396, 613
Clark County, Kansas, 20025, 2145, 42589, 1162, 62200, 650, 284, 366
Clay County, Kansas, 20027, 8421, 52066, 4052, 96500, 2749, 1309, 1440
Cloud County, Kansas, 20029, 9339, 39282, 4637, 69000, 2853, 979, 1874
Coffey County, Kansas, 20031, 8458, 57433, 3999, 102000, 2707, 1551, 1156
Comanche County, Kansas, 20033, 2010, 45288, 993, 61800, 604, 190, 414
Cowley County, Kansas, 20035, 36079, 43860, 15995, 83200, 9245, 4858, 4387
Crawford County, Kansas, 20037, 39304, 36534, 17864, 85900, 9203, 4985, 4218
Decatur County, Kansas, 20039, 2905, 40657, 1812, 55900, 1126, 421, 705
Dickinson County, Kansas, 20041, 19516, 49096, 9066, 108200, 5712, 3106, 2606
Doniphan County, Kansas, 20043, 7859, 47209, 3556, 86900, 2241, 1100, 1141
Douglas County, Kansas, 20045, 114967, 50939, 47812, 179800, 22806, 16100, 6706
Edwards County, Kansas, 20047, 2991, 47303, 1630, 56400, 961, 310, 651
Elk County, Kansas, 20049, 2683, 36458, 1740, 49200, 987, 359, 628
Ellis County, Kansas, 20051, 28993, 45579, 12996, 150200, 7531, 4216, 3315
Ellsworth County, Kansas, 20053, 6410, 47736, 3219, 81400, 1960, 1009, 951
Finney County, Kansas, 20055, 37133, 49227, 13290, 117000, 7830, 4564, 3266
Ford County, Kansas, 20057, 34714, 50777, 12081, 99500, 6859, 3751, 3108
Franklin County, Kansas, 20059, 25753, 51081, 11114, 122900, 7058, 4524, 2534
Geary County, Kansas, 20061, 36787, 43992, 15009, 136000, 5442, 3485, 1957
Gove County, Kansas, 20063, 2735, 46364, 1383, 76300, 932, 353, 579
Graham County, Kansas, 20065, 2593, 43826, 1479, 68600, 957, 341, 616
Grant County, Kansas, 20067, 7816, 55432, 2934, 99400, 2102, 987, 1115
Gray County, Kansas, 20069, 6065, 61000, 2388, 107900, 1566, 727, 839
Greeley County, Kansas, 20071, 1224, 47750, 588, 84500, 348, 108, 240
Greenwood County, Kansas, 20073, 6393, 38838, 4052, 57200, 2185, 889, 1296
Hamilton County, Kansas, 20075, 2586, 45114, 1195, 86600, 719, 296, 423
Harper County, Kansas, 20077, 5861, 43973, 3148, 66900, 1854, 766, 1088
Harvey County, Kansas, 20079, 34835, 51327, 14602, 115800, 9486, 5505, 3981
Haskell County, Kansas, 20081, 4130, 56484, 1660, 116000, 1010, 484, 526
Hodgeman County, Kansas, 20083, 1939, 54856, 1034, 82900, 596, 209, 387
Jackson County, Kansas, 20085, 13400, 54077, 5764, 119400, 3974, 2275, 1699
Jefferson County, Kansas, 20087, 18898, 57236, 8210, 127100, 6182, 3741, 2441
Jewell County, Kansas, 20089, 3038, 40553, 2028, 53100, 1150, 330, 820
Johnson County, Kansas, 20091, 566814, 76113, 231029, 215600, 152762, 112855, 39907
Kearny County, Kansas, 20093, 3952, 50506, 1556, 94100, 1031, 612, 419
Kingman County, Kansas, 20095, 7790, 50844, 3811, 88000, 2205, 1093, 1112
Kiowa County, Kansas, 20097, 2536, 43963, 1227, 121300, 693, 279, 414
Labette County, Kansas, 20099, 21048, 41439, 10070, 70200, 5833, 2814, 3019
Lane County, Kansas, 20101, 1674, 56507, 955, 66200, 614, 316, 298
Leavenworth County, Kansas, 20103, 78227, 63726, 28999, 167500, 17772, 11711, 6061
Lincoln County, Kansas, 20105, 3154, 44276, 1859, 66900, 1055, 435, 620
Linn County, Kansas, 20107, 9528, 46964, 5446, 90300, 3257, 1863, 1394
Logan County, Kansas, 20109, 2793, 46875, 1443, 79200, 880, 373, 507
Lyon County, Kansas, 20111, 33462, 40021, 15218, 93400, 7929, 4575, 3354
McPherson County, Kansas, 20113, 29252, 56128, 12824, 132900, 8959, 5503, 3456
Marion County, Kansas, 20115, 12290, 45927, 5930, 81600, 3817, 1917, 1900
Marshall County, Kansas, 20117, 10005, 45374, 4882, 86700, 3196, 1339, 1857
Meade County, Kansas, 20119, 4383, 52250, 1943, 86500, 1203, 520, 683
Miami County, Kansas, 20121, 32688, 60966, 13273, 167400, 9718, 6529, 3189
Mitchell County, Kansas, 20123, 6296, 48217, 3290, 89000, 1950, 933, 1017
Montgomery County, Kansas, 20125, 34184, 41083, 16474, 70600, 9339, 4723, 4616
Morris County, Kansas, 20127, 5750, 47089, 3195, 85200, 1846, 743, 1103
Morton County, Kansas, 20129, 3106, 46028, 1458, 99400, 835, 380, 455
Nemaha County, Kansas, 20131, 10159, 48653, 4571, 109900, 3254, 1588, 1666
Neosho County, Kansas, 20133, 16423, 43195, 7653, 69800, 4615, 2200, 2415
Ness County, Kansas, 20135, 3077, 44904, 1741, 67100, 1084, 341, 743
Norton County, Kansas, 20137, 5590, 47852, 2535, 72900, 1644, 907, 737
Osage County, Kansas, 20139, 16080, 49915, 7501, 98300, 4910, 2832, 2078
Osborne County, Kansas, 20141, 3782, 40216, 2198, 57400, 1322, 489, 833
Ottawa County, Kansas, 20143, 6048, 52479, 2769, 92600, 2064, 1187, 877
Pawnee County, Kansas, 20145, 6911, 43250, 3165, 77400, 1773, 795, 978
Phillips County, Kansas, 20147, 5501, 44170, 3044, 72700, 1808, 779, 1029
Pottawatomie County, Kansas, 20149, 22625, 60216, 8918, 160700, 6395, 3974, 2421
Pratt County, Kansas, 20151, 9739, 49550, 4485, 85900, 2687, 1245, 1442
Rawlins County, Kansas, 20153, 2545, 41579, 1458, 75600, 868, 283, 585
Reno County, Kansas, 20155, 64058, 45288, 28274, 94100, 16855, 9542, 7313
Republic County, Kansas, 20157, 4806, 40449, 2877, 48900, 1785, 609, 1176
Rice County, Kansas, 20159, 10014, 48460, 4548, 75300, 2911, 1428, 1483
Riley County, Kansas, 20161, 75022, 44437, 29557, 181200, 11050, 6886, 4164
Rooks County, Kansas, 20163, 5186, 43558, 2757, 67900, 1649, 747, 902
Rush County, Kansas, 20165, 3184, 38854, 1797, 62100, 1168, 455, 713
Russell County, Kansas, 20167, 6988, 41102, 3892, 81000, 2428, 1210, 1218
Saline County, Kansas, 20169, 55735, 47801, 24192, 122200, 14704, 9296, 5408
Scott County, Kansas, 20171, 4928, 51850, 2373, 126000, 1583, 714, 869
Sedgwick County, Kansas, 20173, 506529, 50657, 213700, 126500, 123624, 80394, 43230
Seward County, Kansas, 20175, 23274, 47134, 8110, 87100, 5060, 2780, 2280
Shawnee County, Kansas, 20177, 178792, 50378, 79425, 122200, 45873, 28901, 16972
